complaint_text,officer,priority,eta_days
I wanted to bring to your attention that water meter at on Park Lane is crackedn and possibly causing billing errors.,Water Officer,Low,5
Open drain on Station Road overflowing for the last 4 days — sewage water entering homes.,Drainage Officer,High,1
The street light at the intersection near the vegetable market has been out since this morning — very unsafe at night.,Electrical Officer,Medium,5
This is a serious issue — recyclable waste not being collected separately near the railway crossing for 10 days now — mixed with general waste.,Sanitation Officer,Low,5
Waste not collected before festival season on Maple Street — piling up on roads for several days.,Sanitation Officer,High,2
"As a resident, I urge you to address the fact that drainage infrastructure on Park Lane is old and collapsed — requires full replacement.",Drainage Officer,Low,6
"As a resident, I urge you to address the fact that drainage infrastructure in the old city area is old and collapsed — requires full replacement.",Drainage Officer,Low,7
Multiple families are affected as open defecation being practiced near near the bus depot — very unhygienic condition since last night.,Sanitation Officer,High,2
I wanted to bring to your attention that sweeping of road not done on Cedar Road for over a week — leaves and rubbish scattered everywhere.,Sanitation Officer,Low,6
Manhole overflowing with sewage on Park Lane since last night — unbearable smell and hygiene risk.,Drainage Officer,High,2
Catch basin near the railway crossing completely clogged — street flooded knee-deep after last night rain.,Drainage Officer,High,1
I wanted to bring to your attention that highway onramp in the old city area has surface cracking — life-threatening for heavy vehicles for the last 4 days.,Road Officer,High,5
Bulk garbage items like old furniture dumped in Ward 7 — blocking the footpath since this morning.,Sanitation Officer,Medium,4
We have noticed that road surface badly damaged in the old city area — rough patches causing damage to vehicles since the rain last week.,Road Officer,Medium,11
Dim and flickering street lights in Sector 4 make the road hazardous at night for the past 3 days.,Electrical Officer,Medium,5
Large road cavity near the flyover is getting bigger — cars are swerving dangerously for the past month.,Road Officer,High,5
I am writing to inform you that footpath near the railway crossing is completely blocked by debris and encroachment for the past month.,Road Officer,Medium,9
Water tanker not arriving on schedule in the residential colony for several days — community is suffering.,Water Officer,Medium,3
This is a serious issue — recyclable waste not being collected separately in Sector 12 for the past 2 days — mixed with general waste.,Sanitation Officer,Low,6
Manhole overflowing with grey water near the temple since the rain last week — unbearable smell and hygiene risk.,Drainage Officer,High,2
Please look into this urgently — electricity pole tilting dangerously on the highway service road since last night — risk of falling on pedestrians.,Electrical Officer,High,2
There is a major pipe burst in Ward 7 and water is gushing onto the road for the past 2 days.,Water Officer,High,2
Residents are complaining that standing water not draining in Sector 12 for the past 2 days — mosquito breeding happening.,Drainage Officer,Medium,4
I wanted to bring to your attention that garbage bins at on Maple Street not disinfected — spreading disease risk for the last 4 days.,Sanitation Officer,High,2
The situation is getting worse — street light is on during the day and off at night on MG Road — sensor malfunction.,Electrical Officer,Low,6
Highway onramp on MG Road has surface cracking — dangerous for heavy vehicles for the past 2 days.,Road Officer,High,6
Please take immediate action — no street lights installed on the new road in Ward 7 — dangerous after dark.,Electrical Officer,Medium,6
Manhole brimming with sewage on MG Road since yesterday — unbearable smell and hygiene risk.,Drainage Officer,High,1
This problem has been ignored for too long — dirty brown water is coming from the taps on Station Road for the past month — not safe to drink.,Water Officer,High,1
"As a resident, I urge you to address the fact that foul odor from sewerage in Sector 12 is affecting entire neighbourhood for 10 days now.",Drainage Officer,Medium,4
This is a serious issue — road surface badly damaged in Block C of the housing society — rough patches causing damage to vehicles for several days.,Road Officer,Medium,9
Litter basket in Sector 4 is piled up — no collection in days for the past 3 days.,Sanitation Officer,Medium,4
I wanted to bring to your attention that footpath on Oak Avenue is completely blocked by debris and encroachment since yesterday.,Road Officer,Medium,9
Our locality has been suffering because open defecation being practiced near on Elm Street — very unhygienic condition since this morning.,Sanitation Officer,High,2
Multiple families are affected as illegal dumping of construction waste noticed on 5th and Broadway for several days — blocking pedestrian path.,Sanitation Officer,Medium,4
Drainage infrastructure in Block C of the housing society is old and collapsed — requires full replacement.,Drainage Officer,Low,6
Our locality has been suffering because street surface badly damaged on Elm Street — rough patches causing damage to vehicles for the last 4 days.,Road Officer,Medium,9
Recyclable waste not being collected separately on MG Road for several days — mixed with general waste.,Sanitation Officer,Low,5
The situation is getting worse — intermittent water supply on 5th and Broadway — water comes for only 30 minutes a day for over a week.,Water Officer,Medium,4
Water tanker not arriving on schedule near the temple since this morning — community is suffering.,Water Officer,Medium,3
Water tanker not arriving on schedule on Cedar Road since the rain last week — community is suffering.,Water Officer,Medium,3
The situation is getting worse — illegal connection to main sewer near near the temple causing backup for residents since last night.,Drainage Officer,Medium,5
Pothole on the highway on Cedar Road caused a vehicle to lose control since this morning.,Road Officer,High,5
Please look into this urgently — power outage affecting entire neighbourhood in the downtown area for over a week — no electricity at all.,Electrical Officer,High,2
Stormwater drain blocked near the main market — entire road submerged every time it rains since last night.,Drainage Officer,High,2
I am writing to inform you that underground cable fault near the vegetable market causing power fluctuations for several days.,Electrical Officer,Medium,4
Our locality has been suffering because no sodium lights installed on the new road in the downtown area — dangerous after dark.,Electrical Officer,Medium,6
I am writing to inform you that illegal connection to main sewer near on Maple Street causing backup for residents since the rain last week.,Drainage Officer,Medium,5
Please take immediate action — illegal dumping of construction waste noticed on MG Road since yesterday — blocking pedestrian path.,Sanitation Officer,Medium,4
I wanted to bring to your attention that basement flooding in on Cedar Road area due to blocked drainage for 10 days now.,Drainage Officer,High,2
I am writing to inform you that sewage water mixing with drinking water supply in Sector 12 — serious health risk for the past 2 days.,Water Officer,High,1
Roadside drain cover broken at on Cedar Road — open gutter visible beside the road for the last 4 days.,Road Officer,Medium,8
This is a serious issue — highway onramp on Cedar Road has surface cracking — unsafe for heavy vehicles since the rain last week.,Road Officer,High,5
Severe lane damage near school zone near the main market — children safety at risk since last night.,Road Officer,High,4
Stormwater drain blocked on Elm Street — entire road under water every time it rains for 10 days now.,Drainage Officer,High,3
Our locality has been suffering because the overhead water tank at near the vegetable market is overflowing and wasting water since this morning.,Water Officer,Low,5
This problem has been ignored for too long — stormwater grate broken at on Park Lane — water rushing in uncontrolled manner for the past 2 days.,Drainage Officer,High,1
Bulk litter items like old furniture dumped near the temple — blocking the footpath for the past 2 days.,Sanitation Officer,Medium,4
This problem has been ignored for too long — water meter at in the downtown area is broken and possibly causing billing errors.,Water Officer,Low,5
Drain cover missing in Sector 4 — open drain gutter accessible to pedestrians since last night.,Drainage Officer,High,1
"As a resident, I urge you to address the fact that gutter on MG Road clogged with debris — overflow during monsoon causing road damage for the past 3 days.",Drainage Officer,Medium,4
Missing signal head at on Oak Avenue junction — drivers confused about right of way for the past month.,Electrical Officer,High,3
Road collapse due to waterlogging on Station Road — several vehicles got stuck for the past 3 days.,Road Officer,High,4
Catch basin at on the highway service road requires repairing — broken cover creating fall hazard.,Drainage Officer,Medium,5
I would like to report that sewage pipe burst near the vegetable market — raw sewage flowing on road surface for the past 3 days.,Drainage Officer,High,2
Please look into this urgently — signal timing at on Elm Street is off — green light too short causing congestion since yesterday.,Electrical Officer,Medium,6
"Kindly send someone to fix this, water pressure is very low in Ward 7 — water barely reaches upper floors for 10 days now.",Water Officer,Medium,4
Standing water not draining on Maple Street for 10 days now — mosquito breeding happening.,Drainage Officer,Medium,4
I am writing to inform you that waterlogging reported near the flyover every monsoon — permanent drainage solution needed.,Drainage Officer,Medium,6
The situation is getting worse — stormwater grate broken at in Block C of the housing society — water rushing in uncontrolled manner since the rain last week.,Drainage Officer,High,1
I would like to report that drainage canal near in the residential colony needs urgent desilting — overflow risk before monsoon.,Drainage Officer,Medium,5
The situation is getting worse — commercial establishment on Oak Avenue dumping garbage on the street after hours for over a week.,Sanitation Officer,High,3
